,294,940,946,5135,5944,6057,7697,12752,12783,20230,20545,20809,21027,12124,12884,285,51,6373,7686,7696,7907,accuracy,macro avg,weighted avg
precision,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5892857142857143,0.5714285714285714,0.9464285714285714
recall,0.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.1,0.3333333333333333,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5892857142857143,0.4317460317460317,0.5892857142857143
f1-score,0.0,1.0,1.0,0.8,1.0,0.8,0.18181818181818182,0.5,1.0,1.0,1.0,1.0,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5892857142857143,0.46396936396936395,0.6559565434565434
support,3.0,3.0,3.0,3.0,3.0,3.0,10.0,3.0,5.0,3.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5892857142857143,56.0,56.0
