,294,940,946,5135,5944,6057,7697,12752,12783,20230,20545,20809,21027,11128,12884,20141,285,7696,accuracy,macro avg,weighted avg
precision,0.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.6527777777777778,0.9330357142857143
recall,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.9,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.75,0.5666666666666667,0.75
f1-score,0.0,0.8,0.8571428571428571,1.0,1.0,1.0,0.9473684210526316,0.8,1.0,1.0,0.8,1.0,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,0.75,0.5925583188741084,0.8010803106667769
support,3.0,3.0,3.0,3.0,3.0,3.0,10.0,3.0,5.0,3.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.75,56.0,56.0
