,51,241,285,294,301,325,486,513,858,859,860,863,864,940,945,946,1017,1023,1087,1381,1466,1519,1666,1667,1994,2034,2086,2237,2238,2239,2266,2289,2304,2355,2360,2509,2724,2745,2794,2828,3314,3412,3987,4149,4361,4497,4586,4605,4642,4647,4691,4692,4719,4726,4776,4803,4872,4874,4911,5045,5059,5095,5135,5155,5181,5197,5198,5199,5201,5217,5224,5253,5282,5320,5366,5367,5373,5429,5529,5571,5630,5780,5859,5944,5950,5951,6007,6023,6057,6099,6121,6266,6276,6277,6307,6365,6373,7025,7117,7141,7277,7527,7528,7540,7546,7557,7686,7696,7697,7699,7702,7735,7803,7907,7910,8119,8167,8249,8270,8272,8300,8453,8455,8461,8751,8778,9139,10946,11110,11115,11127,11128,11243,11758,11761,11882,11912,11919,12082,12083,12084,12085,12086,12090,12091,12106,12123,12124,12140,12238,12555,12558,12559,12566,12606,12655,12752,12754,12783,12881,12884,12885,12886,12887,12927,12928,12949,12951,12997,16706,19600,19622,19751,19753,19756,19815,19865,19946,19993,20000,20141,20142,20144,20178,20184,20189,20230,20231,20545,20652,20705,20744,20745,20746,20747,20749,20756,20761,20783,20806,20809,20874,20912,20954,21027,21210,21226,accuracy,macro avg,weighted avg
precision,1.0,0.875,0.7,0.0,1.0,0.8,1.0,1.0,0.75,1.0,1.0,0.7142857142857143,1.0,1.0,0.8,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,0.8,1.0,0.25,0.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.6,0.6206896551724138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6363636363636364,0.8571428571428571,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,0.8,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5,0.75,1.0,0.6,0.75,0.6,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.5384615384615384,0.3333333333333333,0.8,1.0,1.0,1.0,0.0,0.6666666666666666,0.5,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.875,1.0,0.4,1.0,1.0,1.0,0.75,1.0,0.4,0.8333333333333334,0.875,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.7142857142857143,1.0,0.75,1.0,0.8,1.0,1.0,1.0,1.0,0.8870967741935484,0.8,0.7142857142857143,1.0,1.0,0.8,1.0,1.0,0.6153846153846154,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8571428571428571,1.0,1.0,1.0,0.4,0.8,0.8,0.5714285714285714,1.0,1.0,1.0,1.0,0.75,0.5,1.0,0.875,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.7142857142857143,1.0,0.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.75,1.0,0.75,1.0,1.0,0.8394230769230769,0.8634785493315905,0.8499450309959049
recall,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.75,1.0,1.0,0.8,1.0,0.3333333333333333,0.0,0.8,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.8571428571428571,0.8888888888888888,0.3333333333333333,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,0.75,1.0,0.6666666666666666,1.0,1.0,0.25,1.0,0.75,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.875,1.0,1.0,1.0,0.7142857142857143,1.0,0.75,0.6666666666666666,1.0,0.8,0.75,0.75,1.0,1.0,0.75,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.5,0.75,0.6,0.5,1.0,0.75,0.75,1.0,0.8,1.0,0.6666666666666666,1.0,0.75,1.0,0.9333333333333333,0.2,0.4,0.5,0.6666666666666666,1.0,0.0,0.8,0.75,1.0,0.5,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,0.75,0.5,0.6,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,0.5,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.75,0.75,0.8333333333333334,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,0.3333333333333333,0.8,0.8,1.0,0.9411764705882353,0.75,1.0,1.0,1.0,0.75,0.25,0.9,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.6666666666666666,1.0,0.875,0.8571428571428571,1.0,0.6666666666666666,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.0,1.0,1.0,0.75,1.0,0.6,1.0,0.6666666666666666,0.5,1.0,0.3,1.0,1.0,0.8394230769230769,0.8299359035079411,0.8394230769230769
f1-score,1.0,0.9333333333333333,0.8235294117647058,0.0,1.0,0.888888888888889,1.0,1.0,0.75,0.6666666666666666,1.0,0.8333333333333333,1.0,0.8,0.888888888888889,0.6666666666666666,0.9090909090909091,0.8571428571428571,1.0,1.0,0.8000000000000002,1.0,0.28571428571428575,0.0,0.8000000000000002,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,0.923076923076923,0.8888888888888888,0.4444444444444444,0.888888888888889,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.7499999999999999,0.679245283018868,1.0,1.0,0.8571428571428571,1.0,1.0,0.8571428571428571,1.0,0.888888888888889,0.888888888888889,0.8571428571428571,1.0,0.8,1.0,0.888888888888889,0.4,1.0,0.8571428571428571,1.0,0.5714285714285715,0.8,0.8,0.8,0.888888888888889,0.7368421052631579,0.923076923076923,0.8,0.8,0.8333333333333333,1.0,0.8571428571428571,0.6666666666666666,0.888888888888889,0.888888888888889,0.8571428571428571,0.8571428571428571,1.0,1.0,0.8571428571428571,1.0,0.4444444444444444,1.0,1.0,0.0,1.0,1.0,0.5,0.888888888888889,0.5714285714285715,0.7142857142857143,0.5714285714285715,0.6,0.6666666666666665,0.6666666666666666,0.7499999999999999,0.75,0.6666666666666665,1.0,0.888888888888889,1.0,0.8,1.0,0.6666666666666665,1.0,0.6829268292682926,0.25,0.5333333333333333,0.6666666666666666,0.8,1.0,0.0,0.7272727272727272,0.6,1.0,0.6666666666666666,0.888888888888889,0.7499999999999999,0.8,1.0,1.0,0.9333333333333333,0.8571428571428571,0.4444444444444445,0.7499999999999999,1.0,0.8571428571428571,0.8571428571428571,1.0,0.4444444444444445,0.9090909090909091,0.9333333333333333,1.0,1.0,0.8571428571428571,0.6666666666666666,0.888888888888889,1.0,0.7499999999999999,1.0,0.9090909090909091,0.8,0.8333333333333333,0.8571428571428571,0.75,0.9090909090909091,0.888888888888889,0.888888888888889,1.0,1.0,1.0,0.9401709401709402,0.888888888888889,0.7142857142857143,1.0,0.5,0.8000000000000002,0.888888888888889,1.0,0.744186046511628,0.8571428571428571,1.0,1.0,1.0,0.8571428571428571,0.3333333333333333,0.9473684210526316,0.923076923076923,0.8571428571428571,1.0,1.0,0.4444444444444445,0.888888888888889,0.888888888888889,0.7272727272727273,0.8571428571428571,1.0,1.0,0.8571428571428571,0.8571428571428571,0.5714285714285715,1.0,0.875,0.7999999999999999,1.0,0.8,1.0,1.0,0.75,1.0,1.0,0.8333333333333333,0.8571428571428571,0.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.6666666666666665,1.0,0.8,0.6,1.0,0.4285714285714285,1.0,1.0,0.8394230769230769,0.8311406707917877,0.829495385098347
support,6.0,7.0,7.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,6.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,6.0,4.0,7.0,9.0,6.0,21.0,4.0,4.0,4.0,5.0,5.0,14.0,3.0,24.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,8.0,6.0,4.0,6.0,7.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,6.0,3.0,4.0,3.0,5.0,4.0,3.0,8.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,15.0,5.0,10.0,4.0,6.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,7.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,7.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,6.0,8.0,5.0,7.0,5.0,4.0,55.0,4.0,7.0,4.0,3.0,5.0,5.0,4.0,17.0,4.0,4.0,7.0,3.0,4.0,4.0,10.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,8.0,7.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,10.0,8.0,4.0,6.0,4.0,4.0,3.0,5.0,4.0,3.0,6.0,4.0,10.0,4.0,4.0,0.8394230769230769,1040.0,1040.0
