,294,940,946,5135,5944,6057,7697,12752,12783,20230,20545,20809,21027,12884,20745,285,51,7686,accuracy,macro avg,weighted avg
precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7678571428571429,0.7222222222222222,1.0
recall,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.7678571428571429,0.5944444444444444,0.7678571428571429
f1-score,0.5,1.0,1.0,0.8,1.0,1.0,0.9473684210526316,1.0,1.0,1.0,1.0,0.6666666666666666,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,0.7678571428571429,0.6319763082920978,0.8331381337960285
support,3.0,3.0,3.0,3.0,3.0,3.0,10.0,3.0,5.0,3.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7678571428571429,56.0,56.0
