,294,940,946,5135,5944,6057,7697,12752,12783,20230,20545,20809,21027,12124,12559,12754,12884,19756,285,51,5859,accuracy,macro avg,weighted avg
precision,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7321428571428571,0.6071428571428571,0.9866071428571429
recall,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7321428571428571,0.4476190476190475,0.7321428571428571
f1-score,0.5,0.8,0.8571428571428571,0.5,1.0,1.0,1.0,0.5,1.0,0.8,0.8,1.0,0.5714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7321428571428571,0.49183673469387756,0.8033163265306122
support,3.0,3.0,3.0,3.0,3.0,3.0,10.0,3.0,5.0,3.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7321428571428571,56.0,56.0
