,294,940,946,5135,5944,6057,7697,12752,12783,20230,20545,20809,21027,12124,12884,19993,20745,285,7696,accuracy,macro avg,weighted avg
precision,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.631578947368421,0.9464285714285714
recall,0.0,1.0,1.0,1.0,1.0,1.0,0.8,0.3333333333333333,1.0,1.0,0.6666666666666666,0.75,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.5184210526315789,0.7142857142857143
f1-score,0.0,1.0,1.0,1.0,1.0,1.0,0.888888888888889,0.5,1.0,1.0,0.8,0.8571428571428571,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.5530300109247478,0.7827293738008024
support,3.0,3.0,3.0,3.0,3.0,3.0,10.0,3.0,5.0,3.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,56.0,56.0
