,294,940,946,5135,5944,6057,7697,12752,12783,20230,20545,20809,21027,12124,12884,19993,20745,285,7686,7696,7803,7907,accuracy,macro avg,weighted avg
precision,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6607142857142857,0.5454545454545454,0.9464285714285714
recall,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,0.6666666666666666,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6607142857142857,0.43787878787878787,0.6607142857142857
f1-score,0.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,1.0,1.0,0.8,0.6666666666666666,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6607142857142857,0.4724941724941725,0.7455128205128206
support,3.0,3.0,3.0,3.0,3.0,3.0,10.0,3.0,5.0,3.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6607142857142857,56.0,56.0
