,294,940,946,5135,5944,6057,7697,12752,12783,20230,20545,20809,21027,12884,285,7025,7696,accuracy,macro avg,weighted avg
precision,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.7058823529411765,0.9464285714285714
recall,0.0,1.0,1.0,1.0,1.0,1.0,0.9,0.6666666666666666,1.0,1.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.7857142857142857,0.6392156862745099,0.7857142857142857
f1-score,0.0,1.0,1.0,1.0,1.0,1.0,0.9473684210526316,0.8,1.0,1.0,1.0,1.0,0.4615384615384615,0.0,0.0,0.0,0.0,0.7857142857142857,0.6593474636818291,0.8301619433198381
support,3.0,3.0,3.0,3.0,3.0,3.0,10.0,3.0,5.0,3.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.7857142857142857,56.0,56.0
