,294,940,946,5135,5944,6057,7697,12752,12783,20230,20545,20809,21027,12559,12884,285,7025,7686,945,accuracy,macro avg,weighted avg
precision,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7321428571428571,0.6140350877192983,0.9285714285714286
recall,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.9,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7321428571428571,0.5192982456140351,0.7321428571428571
f1-score,0.0,0.8,0.6666666666666666,1.0,1.0,1.0,0.9473684210526316,0.8,1.0,0.8,1.0,1.0,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.7321428571428571,0.5513459762767242,0.7908762290341238
support,3.0,3.0,3.0,3.0,3.0,3.0,10.0,3.0,5.0,3.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7321428571428571,56.0,56.0
