,294,940,946,5135,5944,6057,7697,12752,12783,20230,20545,20809,21027,12124,12559,12884,19756,285,6373,7025,7546,7686,7803,945,accuracy,macro avg,weighted avg
precision,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.4861111111111111,0.9285714285714286
recall,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,0.4,0.3333333333333333,0.8,0.6666666666666666,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.34027777777777773,0.5714285714285714
f1-score,0.0,0.8,0.6666666666666666,1.0,1.0,0.5,0.5714285714285715,0.5,0.888888888888889,0.8,1.0,1.0,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.38285510785510785,0.6709663352520495
support,3.0,3.0,3.0,3.0,3.0,3.0,10.0,3.0,5.0,3.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,56.0,56.0
