,294,940,946,5135,5944,6057,7697,12752,12783,20230,20545,20809,21027,12884,20745,285,51,accuracy,macro avg,weighted avg
precision,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8035714285714286,0.7647058823529411,1.0
recall,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.3,0.0,0.0,0.0,0.0,0.8035714285714286,0.65,0.8035714285714286
f1-score,0.5,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.4615384615384615,0.0,0.0,0.0,0.0,0.8035714285714286,0.6834518422753717,0.8561420722135008
support,3.0,3.0,3.0,3.0,3.0,3.0,10.0,3.0,5.0,3.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.8035714285714286,56.0,56.0
